boom_property_id,internal_property_id,pms_property_id,boom_property_name,approved
48 West,CB-0001,,48 West,true
555 Boulevard,CB-0002,,555 Boulevard,true
698 Prospect,CB-0003,,698 Prospect,true
Auden Upstate,CB-0004,,Auden Upstate,true
Beach Club,CB-0005,,Beach Club,true
Bixby Kennesaw,CB-0006,,Bixby Kennesaw,true
Brooks at Stillwater,CB-0007,,Brooks at Stillwater,true
Campus Creek Cottages,CB-0008,,Campus Creek Cottages,true
Campus Creek Townhomes,CB-0009,,Campus Creek Townhomes,true
Castleberry Park,CB-0010,,Castleberry Park,true
Chateau on Wells,CB-0011,,Chateau on Wells,true
Claremont Collegiate Apartments,CB-0012,,Claremont Collegiate Apartments,true
Clemson Edge,CB-0013,,Clemson Edge,true
Cobalt Row,CB-0014,,Cobalt Row,true
College Town Apartments,CB-0015,,College Town Apartments,true
Cottages at Tucson,CB-0016,,Cottages at Tucson,true
Ensemble at Northridge,CB-0017,,Ensemble at Northridge,true
Everly on The Loop,CB-0018,,Everly on The Loop,true
Fifteen51,CB-0019,,Fifteen51,true
Hamilton Court,CB-0020,,Hamilton Court,true
Hannah Townhomes & Lofts,CB-0021,,Hannah Townhomes & Lofts,true
Hawks Landing,CB-0022,,Hawks Landing,true
Merced Station,CB-0023,,Merced Station,true
Muse on Main,CB-0024,,Muse on Main,true
Paloma Kent,CB-0025,,Paloma Kent,true
Paloma Raleigh,CB-0026,,Paloma Raleigh,true
Paloma West Midtown,CB-0027,,Paloma West Midtown,true
Post Chicago,CB-0028,,Post Chicago,true
Proxi Lawrence,CB-0029,,Proxi Lawrence,true
Rittenhouse Station,CB-0030,,Rittenhouse Station,true
Sky Garden Apartments,CB-0031,,Sky Garden Apartments,true
SoCam 290,CB-0032,,SoCam 290,true
Solaire Oxford,CB-0033,,Solaire Oxford,true
Stadium View,CB-0034,,Stadium View,true
Station 42,CB-0035,,Station 42,true
Straits Row,CB-0036,,Straits Row,true
Tech Village,CB-0037,,Tech Village,true
The Abbot,CB-0038,,The Abbot,true
The Avenue,CB-0039,,The Avenue,true
The Bluff at Waterworks Landing,CB-0040,,The Bluff at Waterworks Landing,true
The Carmin,CB-0041,,The Carmin,true
The Cottages of College Station,CB-0042,,The Cottages of College Station,true
The Crossings,CB-0043,,The Crossings,true
The Davy,CB-0044,,The Davy,true
The Essex,CB-0045,,The Essex,true
The Finmore at 241,CB-0046,,The Finmore at 241,true
The Gates,CB-0047,,The Gates,true
The Highlands,CB-0048,,The Highlands,true
The Hive,CB-0049,,The Hive,true
The Landing Apartments,CB-0050,,The Landing Apartments,true
The Nine at Memphis,CB-0051,,The Nine at Memphis,true
The Printing House,CB-0052,,The Printing House,true
The Ranch,CB-0053,,The Ranch,true
The Republic,CB-0054,,The Republic,true
The Residences at 7th,CB-0055,,The Residences at 7th,true
The Ridge,CB-0056,,The Ridge,true
The Summit at Coates Run,CB-0057,,The Summit at Coates Run,true
The Timbers,CB-0058,,The Timbers,true
The Tower,CB-0059,,The Tower,true
The U Davis,CB-0060,,The U Davis,true
The Valley,CB-0061,,The Valley,true
The View,CB-0062,,The View,true
Theory Gainesville,CB-0063,,Theory Gainesville,true
Theory Syracuse,CB-0064,,Theory Syracuse,true
Theory U District,CB-0065,,Theory U District,true
Trifecta,CB-0066,,Trifecta,true
University Edge Akron,CB-0067,,University Edge Akron,true
University Gateway,CB-0068,,University Gateway,true
Uno on Chestnut,CB-0069,,Uno on Chestnut,true
Valley Falls Apartments,CB-0070,,Valley Falls Apartments,true
Villas on Rio,CB-0071,,Villas on Rio,true
i5 Wynwood,CB-0072,,i5 Wynwood,true
